Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
47724,NS da Graça e Infante Carlota,Lisbon,Bissau,Maranhao,1788,14,"Duarte, Joaquim Ribeiro"
47729,S Jorge,Lisbon,Bissau,Maranhao,1788,44,"Medeiros, Tomás Joaquim de"
47733,S Jorge,,"Senegambia and offshore Atlantic, port unspecified",Maranhao,1790,214,"Rosa, Joaquim dos Santos"
47734,S Jorge,Lisbon,Bissau,Maranhao,1791,57,"Rosa, Joaquim dos Santos<br/> Luis, Antonio José"
47735,S João Batista,,"Senegambia and offshore Atlantic, port unspecified",Maranhao,1790,86,"Falcão, João"
47736,S João Batista,,Bissau,Maranhao,1791,,"Falcão, João"
47737,NS de Belém,,Bissau,Maranhao,1789,232,"Leão, José das Neves"
47740,NS da Penha da França e Indústria,,Bissau,Maranhao,1789,57,"Tomás, José Antônio<br/> Pedroso, Nicolau João"
48383,NS da Conceição e S Rita,Lisbon,Luanda,Maranhao,1785,606,"Madeira, Joaquim Lázaro"
48421,NS dos Prazeres e Santíssimo Sacramento,Lisbon,Luanda,Maranhao,1788,344,"Martins, José Francisco"
48436,Santíssimo Sacramento e Todos os Santos,Lisbon,Luanda,Maranhao,1788,341,"Ribeiro, Domingos Antônio"
48446,S Antônio Sertório,Lisbon,Luanda,Maranhao,1789,627,"Dias, João de Oliveira"
48538,Bom Despacho,,Luanda,Maranhao,1806,,
48639,Bela Elisa,,Luanda,Maranhao,1818,,"Santana, Joaquim José de"
48645,Paquete da Bahia,"Bahia, port unspecified",Cabinda,Maranhao,1823,208,"Cardoso, Manoel Ribeiro<br/> Almeida, Francisco Gomes de"
48742,Bela Escolha,,Luanda,Maranhao,1816,,"Costa, José Antônio Teixeira da"
48756,Marquês de Pombal,Maranhao,Luanda,Maranhao,1820,,"Félix, Inácio José"
48757,Minerva,,Luanda,Maranhao,1818,,"Freitas, Benigno Rafael de"
48772,Andorinha do Tejo,Lisbon,Benguela,Maranhao,1817,,"Rosa, Francisco José da Silva"
48774,Carlota,"Bahia, port unspecified",Luanda,Maranhao,1817,,"Carneiro, José Domingues"
