Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
47082,Diana do Monte,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,"Paula, Vicente de"
47114,Esperança,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,
47181,Águia,"Bahia, port unspecified","Africa., port unspecified","Bahia, port unspecified",1816,,"Prado, Felipe Rodrigues"
47200,S José Grande,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,
47202,Aurora,"Pernambuco, port unspecified",Mozambique,"Pernambuco, port unspecified",1816,,"Silva, João Francisco da"
47205,S Antônio e S Afra,"Pernambuco, port unspecified",Benguela,"Pernambuco, port unspecified",1816,,"Lemos, Prudêncio Vital de"
47209,Regeneração,"Pernambuco, port unspecified",Quilimane,"Pernambuco, port unspecified",1816,,
47227,Bom Jesus Triunfo,"Pernambuco, port unspecified",Benguela,"Bahia, port unspecified",1816,,"Tavares, João Jacinto"
47248,Pomba Volante,"Pernambuco, port unspecified",Cabinda,"Pernambuco, port unspecified",1816,,"Coelho, José Francisco"
47255,Boa Sorte,"Pernambuco, port unspecified",Cabinda,"Pernambuco, port unspecified",1816,,"Macedo, José Bento de"
47362,Santana da África,"Pernambuco, port unspecified",Benguela,"Pernambuco, port unspecified",1816,,"Nunes, José da Silva"
49233,Esperança,"Bahia, port unspecified",Quilimane,"Bahia, port unspecified",1816,374,"Dias, Domingos Francisco"
49234,Tamerlão,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,"Almeida, Francisco Xavier de<br/> Abreu, Luís Pereira"
49784,Feliz Dias,"Pernambuco, port unspecified",Mozambique,"Pernambuco, port unspecified",1816,,"Ferreira, Antônio Bento"
49785,Mato Grosso,Rio de Janeiro,Quilimane,"Pernambuco, port unspecified",1816,,"Melo, Francisco José de"
41264,Maria da Luz,"Pernambuco, port unspecified",Sao Tome,"Pernambuco, port unspecified",1816,,"Rodrigues, Cosme José"
41823,Caravela,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1816,,"Nunes, Antônio"
41824,Lucrécia,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,
41825,Lusitânia,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1816,,
48606,Ave Maria,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Ramos, Modesto Gonçalo"
48614,Vigilante Africano,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Amorim, José Gomes de"
48616,Aurora,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Gomes, Inácio Manoel"
48617,Bom Jesus Triunfo,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Tavares, João Jacinto"
48620,Protetor,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Sá, Joaquim Manoel de"
48622,Trajano,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Costa, Silvestre Manoel Pereira da"
48717,Ave Maria,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Ferreira, José Antônio"
48739,NS da Boa Viagem Abismo,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Neves, Francisco de Paula"
48740,Atalante,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1816,,
48743,Incas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Boltoura, Manoel José"
48744,S José Vênus,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Preleluê, João de"
48746,S José Salinas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1816,,"Sá, Manoel Gomes de"
48747,Simplicidade,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1816,,
1,Pastora de Lima,Rio de Janeiro,Mozambique,"Bahia, port unspecified",1817,290,"Dias, Manoel José"
2,Tibério,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",1817,223,"Mata, José Maria da"
3,Paquete Real,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,350,"Ferreira, José dos Santos"
4,Bom Caminho,"Bahia, port unspecified",Quilimane,"Bahia, port unspecified",1817,342,"Dias, Domingos Francisco"
5,Benigretta,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,516,
6,Voador,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",1817,515,
7,Formiga,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",1817,204,"Viana, Isidoro Antônio"
8,Vigilante Africano,"Pernambuco, port unspecified",Luanda,"Bahia, port unspecified",1817,374,"Amorim, José Gomes de"
9,Constante,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,345,"Narciso, Antônio"
10,Comerciante,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,478,"Braga, Isidoro Martins"
11,Diligente,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,180,
12,Bonfim,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,542,"Coelho, João Batista"
13,Triunfo,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1817,503,
14,S Lourenço,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,471,"Vilasboas, João da Silveira"
15,Paquete da Bahia,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,478,"Almeida, Manoel Joaquim de"
16,Sociedade,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,393,"Alves, João Luís"
40476,Santana Flor da África,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1817,,"Santana, Inocêncio Marques de"
46721,S Maria Madalena,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1817,,"Lima, Prudêncio Vital de"
46776,Fênix,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,,"Lemos, Prudêncio Vital de"
46777,Destino,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1817,,
46779,Bonsucesso,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1817,,
46792,Sinceridade,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1817,196,"Silva, José Lourenço da"
46795,Amizade,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,,"Primo, Henriques"
46895,Atalante,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1817,,"Andrade, Manoel José"
46896,Bonfim,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,,"Viana, José Joaquim"
46898,Palafox,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,,"Braga, Isidoro Martins"
47119,Trajano,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Monteiro, Bernardo José Carneiro"
47120,Serpente,"Pernambuco, port unspecified",Momboza or Zanzibar,"Pernambuco, port unspecified",1817,,"Rosario, Bernardo José do"
47121,S Tomás,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Cunha, Antônio Joaquim da"
47123,S Antônio Olinda,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Silva, Eugênio Antônio da"
47127,NS do Rosario,"Pernambuco, port unspecified",Cabinda,"Pernambuco, port unspecified",1817,,"Correa, Francisco José"
47130,Mato Grosso,"Pernambuco, port unspecified",Quilimane,"Pernambuco, port unspecified",1817,,"Melo, Francisco José de"
47131,General Silveira,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Serra, Vicente Nunes da"
47132,Fuinha,"Pernambuco, port unspecified",Malembo,"Pernambuco, port unspecified",1817,,"Bernardes, Manoel"
47136,NS da Boa Viagem Abismo,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Moreira, Dionísio José"
47159,Amizade,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Portela, Adriano"
47199,S José Salinas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Sá, Manoel Gomes de"
47314,S José Grande (a) Vênus,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Preleluê, João de"
47318,Trajano,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Costa, Silvestre Manoel Pereira da"
47461,Bela Astrea,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,180,"Silva, José Lourenço da"
49221,Rita (Flor de Mayo),Santander,Loango,"Bahia, port unspecified",1817,382,"Arrarte, Juan Batista de"
49239,Flor da Bahia,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",1817,,"Gomes, José Martins"
49240,Pequena Aventura,Rio de Janeiro,Cabinda,"Bahia, port unspecified",1817,249,"Cruz, José Joaquim da"
49241,Marquês de Pombal,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,,"Barbosa, José"
49242,Paquete da Bahia,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1817,388,"Almeida, Manoel Joaquim de"
49387,Enéas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Bolana, Manoel José"
49949,Nova Sorte,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1817,,
41826,Lucrécia,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1817,,
41827,Lusitânia,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1817,,
41828,Monte do Carmo,"Bahia, port unspecified",Malembo,"Bahia, port unspecified",1817,,"Silva, Vicente de Paula e"
41829,Paquete Real,"Bahia, port unspecified",Mozambique,"Bahia, port unspecified",1817,,"Siqueira, José Pedro de"
48759,S André Diligente,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Santos, João Hilário dos"
48763,S Antônio Protetor,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Couto, Anastácio Xavier do"
48764,S Antônio Olinda,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Valente, Manoel"
48773,Bom Jesus Triunfo,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,503,"Tavares, João Jacinto"
48775,Felicidade,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Viana, Joaquim Martins"
48776,Flor de Cintra,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Reis, Belchior José dos"
48777,Regeneração,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Martins, Diogo Cândido"
48778,S José Salinas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1817,,"Sá, Manoel Gomes de"
48780,Sinceridade e Atalante,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1817,220,"Souza, José Lourenço de<br/> Costa, José Pereira da"
48998,Atalante,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1817,190,"Fernandes, José Antônio"
48999,Atalante,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1817,,"Santos, Fernando Bruno dos"
49000,NS da Conceição e Sr dos Passos,"Bahia, port unspecified","West Central Africa and St. Helena, port unspecified","Bahia, port unspecified",1817,410,"Medões, Bernardo da Silva<br/> Queiróz, Manoel Marques da Rocha"
40783,Delfim,Lisbon,Mozambique,"Pernambuco, port unspecified",1818,,
46723,Juliana,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1818,,
46724,Juliana,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1818,,
46725,Bela Americana do Rio,"Bahia, port unspecified",Luanda,"Bahia, port unspecified",1818,,"Lisboa, José Antônio"
46742,Dois Amigos,"Pernambuco, port unspecified",Sao Tome or Princes Island,"Pernambuco, port unspecified",1818,,"Santos, Manoel Rodrigues dos"
46820,Carolina,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1818,,
46823,General Silveira,"Pernambuco, port unspecified",Benguela,"Pernambuco, port unspecified",1818,,"Serra, Vicente Nunes da"
46830,Conde de Avis,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1818,,"Barros, Tomás José de"
46839,Catarina,"Bahia, port unspecified","Africa., port unspecified","Bahia, port unspecified",1818,,"Assis, José de"
46849,Rosália,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1818,,"Matos, João Silveira de"
46850,Formiga,"Bahia, port unspecified",Benguela,"Bahia, port unspecified",1818,,"Noronha, Manoel José de"
46854,Constante,"Bahia, port unspecified",Costa da Mina,"Bahia, port unspecified",1818,,"Batista, Martinho José"
46869,Bela Astrea,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1818,,"Gonçalves, Manoel José de Souza"
46899,Marquês de Pombal,"Bahia, port unspecified",Cabinda,"Bahia, port unspecified",1818,,"Barbosa, José"
47083,Gavião,"Pernambuco, port unspecified",Sao Tome or Princes Island,"Pernambuco, port unspecified",1818,,"Santos, João Pinto dos"
47109,Primoroso Divino,"Pernambuco, port unspecified",Benguela,"Pernambuco, port unspecified",1818,,"Reis, Belchior José dos"
47112,Fuinha,"Pernambuco, port unspecified",Malembo,"Pernambuco, port unspecified",1818,,"Viana, Manoel Rodrigues"
47113,Esperança,"Pernambuco, port unspecified",Quilimane,"Pernambuco, port unspecified",1818,,"Bastos, Bernardino José de"
47115,D Domingos,"Pernambuco, port unspecified",Benguela,"Pernambuco, port unspecified",1818,,"Carneiro, Ângelo Francisco"
47116,Conceição Aliança,"Pernambuco, port unspecified",Mozambique,"Pernambuco, port unspecified",1818,,"Palmeira, Joaquim Epifânio Lopes"
47118,Vigilante Africano,"Pernambuco, port unspecified",Benguela,"Pernambuco, port unspecified",1818,,"Amorim, José Gomes de"
47122,S José Salinas,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1818,,"Sá, Manoel Gomes de"
47124,S André Diligente,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1818,,"Martins, Diogo Cândido"
